planet,oracle_longitude,oracle_house,production_house,house_pass,final_sign,oracle_sign
Sun,106.23364361,1,1,True,Cancer,Cancer
Moon,23.36591933,10,10,True,Aries,Aries
Mercury,113.61109589,1,1,True,Cancer,Cancer
Venus,148.49533335,2,2,True,Leo,Leo
Mars,66.77445318,12,12,True,Gemini,Gemini
Jupiter,121.75430903,2,2,True,Leo,Leo
Saturn,14.4605975,10,10,True,Aries,Aries
Uranus,64.06425316,12,12,True,Gemini,Gemini
Neptune,4.41784283,10,10,True,Aries,Aries
Pluto,304.71916332,8,8,True,Aquarius,Aquarius
