signal_type,planet,target_planet,aspect_type,house,sphere,planet_weight,aspect_weight,strength,threshold,base,modifier,contribution,passed_threshold,source
aspect,Transit_Moon,Neptune,trine,,thinking_speech_learning,0.3,0.85,0.683566911841293,0.35,0.17431,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,thinking_speech_learning,0.3,0.95,0.8693294118412922,0.35,0.247759,0.0,0.0,False,aspect
aspect,Transit_Mercury,Mercury,trine,,thinking_speech_learning,1.0,0.85,0.011687572086859888,0.35,0.009934,0.0,0.0,False,aspect
aspect,Transit_Mercury,Uranus,trine,,thinking_speech_learning,1.0,0.85,0.8597374279131387,0.35,0.730777,0.0,0.730777,True,aspect
aspect,Transit_Mercury,Pluto,square,,thinking_speech_learning,1.0,0.85,0.8156286538135556,0.35,0.693284,0.0,0.693284,True,aspect
aspect,Transit_Jupiter,Sun,square,,thinking_speech_learning,0.4,0.85,0.19026152106752647,0.35,0.064689,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,thinking_speech_learning,0.4,1.0,0.27402883093408725,0.35,0.109612,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,thinking_speech_learning,0.4,0.55,0.759394892087883,0.55,0.167067,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,thinking_speech_learning,0.4,0.55,0.8140282254212158,0.55,0.179086,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,thinking_speech_learning,0.4,0.55,0.5073884412454486,0.55,0.111625,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,thinking_speech_learning,0.4,0.85,0.12235866906591397,0.35,0.041602,0.0,0.0,False,aspect
aspect,Transit_Sun,Mercury,trine,,work_status_achievement,0.5,0.85,0.9338697259480977,0.35,0.396895,0.0,0.396895,True,aspect
aspect,Transit_Sun,Pluto,square,,work_status_achievement,0.5,0.85,0.130448884630744,0.35,0.055441,0.0,0.0,False,aspect
aspect,Transit_Mars,Moon,sextile,,work_status_achievement,0.6,0.55,0.8687267484298667,0.55,0.28668,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,work_status_achievement,0.6,0.85,0.19202993867759943,0.35,0.097935,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,work_status_achievement,0.6,0.95,0.1816325613223988,0.35,0.103531,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,work_status_achievement,0.6,0.85,0.23300493867759897,0.35,0.118833,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,work_status_achievement,0.6,0.85,0.7419424386776008,0.35,0.378391,0.2,0.578391,True,aspect
aspect,Transit_Jupiter,Sun,square,,work_status_achievement,0.3,0.85,0.19026152106752647,0.35,0.048517,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,work_status_achievement,0.3,1.0,0.27402883093408725,0.35,0.082209,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,work_status_achievement,0.3,0.55,0.759394892087883,0.55,0.1253,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,work_status_achievement,0.3,0.55,0.8140282254212158,0.55,0.134315,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,work_status_achievement,0.3,0.55,0.5073884412454486,0.55,0.083719,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,work_status_achievement,0.3,0.85,0.12235866906591397,0.35,0.031201,0.0,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,work_status_achievement,1.0,0.85,0.13768882884633804,0.35,0.117036,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,work_status_achievement,1.0,0.85,0.8576013288463393,0.35,0.728961,0.2,0.928961,True,aspect
aspect,Transit_Saturn,Neptune,trine,,work_status_achievement,1.0,0.85,0.20327367115366002,0.35,0.172783,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,work_status_achievement,1.0,0.95,0.017511171153660854,0.35,0.016636,0.0,0.0,False,aspect
planet_in_house,Transit_Moon,,,10,work_status_achievement,0.13,,1.0,,0.13,0.0,0.13,True,planet_in_house
planet_in_house,Transit_Saturn,,,10,work_status_achievement,1.3,,1.0,,1.3,0.0,1.3,True,planet_in_house
planet_in_house,Transit_Neptune,,,10,work_status_achievement,0.13,,1.0,,0.13,0.0,0.13,True,planet_in_house
aspect,Transit_Moon,Neptune,trine,,relationships_partnership,0.6,0.85,0.683566911841293,0.35,0.348619,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,relationships_partnership,0.6,0.95,0.8693294118412922,0.35,0.495518,0.0,0.495518,True,aspect
aspect,Transit_Venus,Uranus,square,,relationships_partnership,1.0,0.85,0.46255156593182234,0.35,0.393169,0.0,0.393169,True,aspect
aspect,Transit_Venus,Neptune,trine,,relationships_partnership,1.0,0.85,0.04238262019034522,0.35,0.036025,0.0,0.0,False,aspect
aspect,Transit_Mars,Moon,sextile,,relationships_partnership,0.4,0.55,0.8687267484298667,0.55,0.19112,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,relationships_partnership,0.4,0.85,0.19202993867759943,0.35,0.06529,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,relationships_partnership,0.4,0.95,0.1816325613223988,0.35,0.06902,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,relationships_partnership,0.4,0.85,0.23300493867759897,0.35,0.079222,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,relationships_partnership,0.4,0.85,0.7419424386776008,0.35,0.25226,0.2,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,relationships_partnership,0.3,0.85,0.13768882884633804,0.35,0.035111,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,relationships_partnership,0.3,0.85,0.8576013288463393,0.35,0.218688,0.2,0.0,False,aspect
aspect,Transit_Saturn,Neptune,trine,,relationships_partnership,0.3,0.85,0.20327367115366002,0.35,0.051835,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,relationships_partnership,0.3,0.95,0.017511171153660854,0.35,0.004991,0.0,0.0,False,aspect
aspect,Transit_Venus,Uranus,square,,money_security_resources,0.8,0.85,0.46255156593182234,0.35,0.314535,0.0,0.0,False,aspect
aspect,Transit_Venus,Neptune,trine,,money_security_resources,0.8,0.85,0.04238262019034522,0.35,0.02882,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Sun,square,,money_security_resources,0.7,0.85,0.19026152106752647,0.35,0.113206,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,money_security_resources,0.7,1.0,0.27402883093408725,0.35,0.19182,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,money_security_resources,0.7,0.55,0.759394892087883,0.55,0.292367,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,money_security_resources,0.7,0.55,0.8140282254212158,0.55,0.313401,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,money_security_resources,0.7,0.55,0.5073884412454486,0.55,0.195345,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,money_security_resources,0.7,0.85,0.12235866906591397,0.35,0.072803,0.0,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,money_security_resources,0.6,0.85,0.13768882884633804,0.35,0.070221,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,money_security_resources,0.6,0.85,0.8576013288463393,0.35,0.437377,0.2,0.637377,True,aspect
aspect,Transit_Saturn,Neptune,trine,,money_security_resources,0.6,0.85,0.20327367115366002,0.35,0.10367,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,money_security_resources,0.6,0.95,0.017511171153660854,0.35,0.009981,0.0,0.0,False,aspect
aspect,Transit_Pluto,Sun,square,,money_security_resources,0.4,0.85,0.6137941171131891,0.35,0.20869,0.0,0.0,False,aspect
aspect,Transit_Pluto,Moon,opposition,,money_security_resources,0.4,0.95,0.6446198524740439,0.35,0.244956,0.0,0.0,False,aspect
aspect,Transit_Pluto,Venus,trine,,money_security_resources,0.4,0.85,0.44895514752595744,0.35,0.152645,0.0,0.0,False,aspect
aspect,Transit_Pluto,Jupiter,trine,,money_security_resources,0.4,0.85,0.489930147525957,0.35,0.166576,0.0,0.0,False,aspect
aspect,Transit_Pluto,Saturn,trine,,money_security_resources,0.4,0.85,0.9988676475259588,0.35,0.339615,0.2,0.0,False,aspect
planet_in_house,Transit_Venus,,,2,money_security_resources,0.8,,1.0,,0.8,0.0,0.8,True,planet_in_house
planet_in_house,Transit_Jupiter,,,2,money_security_resources,0.7,,1.0,,0.7,0.0,0.7,True,planet_in_house
planet_in_house,Transit_Pluto,,,8,money_security_resources,0.4,,1.0,,0.4,0.0,0.4,True,planet_in_house
aspect,Transit_Sun,Mercury,trine,,body_energy_health,0.8,0.85,0.9338697259480977,0.35,0.635031,0.0,0.635031,True,aspect
aspect,Transit_Sun,Pluto,square,,body_energy_health,0.8,0.85,0.130448884630744,0.35,0.088705,0.0,0.0,False,aspect
aspect,Transit_Moon,Neptune,trine,,body_energy_health,0.6,0.85,0.683566911841293,0.35,0.348619,0.0,0.0,False,aspect
