index,included_in_day_scoring,type,planet,planet_clean,target_planet,target_planet_clean,aspect_type,orb,strength,house,sign,technique,technique_family,delta_kind,phase,daily_salience
1,False,planet_in_house,Sun,Sun,,,,,1.0,5,,,,background,background,0.55
2,False,planet_in_house,Moon,Moon,,,,,1.0,2,,,,background,background,0.55
3,False,planet_in_house,Mercury,Mercury,,,,,1.0,5,,,,background,background,0.55
4,False,planet_in_house,Venus,Venus,,,,,1.0,4,,,,background,background,0.55
5,False,planet_in_house,Mars,Mars,,,,,1.0,6,,,,background,background,0.55
6,False,planet_in_house,Jupiter,Jupiter,,,,,1.0,4,,,,background,background,0.55
7,False,planet_in_house,Saturn,Saturn,,,,,1.0,4,,,,background,background,0.55
8,False,planet_in_house,Uranus,Uranus,,,,,1.0,5,,,,background,background,0.55
9,False,planet_in_house,Neptune,Neptune,,,,,1.0,6,,,,background,background,0.55
10,False,planet_in_house,Pluto,Pluto,,,,,1.0,4,,,,background,background,0.55
11,False,planet_in_sign,Sun,Sun,,,,,1.0,,Scorpio,,,background,background,0.55
12,False,planet_in_sign,Moon,Moon,,,,,1.0,,Leo,,,background,background,0.55
13,False,planet_in_sign,Mercury,Mercury,,,,,1.0,,Scorpio,,,background,background,0.55
14,False,planet_in_sign,Venus,Venus,,,,,1.0,,Libra,,,background,background,0.55
15,False,planet_in_sign,Mars,Mars,,,,,1.0,,Sagittarius,,,background,background,0.55
16,False,planet_in_sign,Jupiter,Jupiter,,,,,1.0,,Libra,,,background,background,0.55
17,False,planet_in_sign,Saturn,Saturn,,,,,1.0,,Libra,,,background,background,0.55
18,False,planet_in_sign,Uranus,Uranus,,,,,1.0,,Scorpio,,,background,background,0.55
19,False,planet_in_sign,Neptune,Neptune,,,,,1.0,,Sagittarius,,,background,background,0.55
20,False,planet_in_sign,Pluto,Pluto,,,,,1.0,,Libra,,,background,background,0.55
21,False,aspect,Sun,Sun,Moon,Moon,square,0.13949999999998397,0.9800714285714308,,,,,background,background,0.5390392857142869
22,False,aspect,Moon,Moon,Mars,Mars,trine,5.759400000000014,0.2800749999999983,,,,,background,background,0.15404124999999907
23,False,aspect,Moon,Moon,Saturn,Saturn,sextile,2.8518999999999863,0.5246833333333356,,,,,background,background,0.2885758333333346
24,False,aspect,Venus,Venus,Jupiter,Jupiter,conjunction,0.3277999999999963,0.9590250000000005,,,,,background,background,0.5274637500000003
25,False,aspect,Venus,Venus,Saturn,Saturn,conjunction,4.399400000000014,0.4500749999999982,,,,,background,background,0.24754124999999905
26,False,aspect,Venus,Venus,Uranus,Uranus,sextile,5.577499999999986,0.0704166666666689,,,,,background,background,0.0387291666666679
27,False,aspect,Mars,Mars,Neptune,Neptune,conjunction,7.5128999999999735,0.060887500000003314,,,,,background,background,0.033488125000001825
28,False,aspect,Jupiter,Jupiter,Saturn,Saturn,conjunction,4.071600000000018,0.49104999999999777,,,,,background,background,0.2700774999999988
29,False,aspect,Jupiter,Jupiter,Uranus,Uranus,sextile,5.905299999999983,0.015783333333336258,,,,,background,background,0.008680833333334942
30,False,aspect,Neptune,Neptune,Pluto,Pluto,sextile,1.4861000000000217,0.7523166666666631,,,,,background,background,0.4137741666666647
31,True,aspect,Transit_Sun,Sun,Mercury,Mercury,trine,0.5290436092750213,0.9338695488406223,,,,,background,background,0.5136282518623423
32,True,aspect,Transit_Sun,Sun,Pluto,Pluto,square,6.086756390724986,0.13046337275357345,,,,,new_today,entering,0.1696023845796455
33,True,aspect,Transit_Moon,Moon,Neptune,Neptune,trine,2.531619326816042,0.6835475841479948,,,,,new_today,entering,0.8886118593923932
34,True,aspect,Transit_Moon,Moon,Pluto,Pluto,opposition,1.0455193268160201,0.8693100841479975,,,,,new_today,entering,1.1301031093923968
35,True,aspect,Transit_Mercury,Mercury,Mercury,Mercury,trine,7.906495892617002,0.011688013422874732,,,,,new_today,entering,0.015194417449737152
36,True,aspect,Transit_Mercury,Mercury,Uranus,Uranus,trine,1.1221041073830094,0.8597369865771238,,,,,background,background,0.47285534261741813
37,True,aspect,Transit_Mercury,Mercury,Pluto,Pluto,square,1.290695892616995,0.8156148724832865,,,,,background,background,0.44858817986580757
38,True,aspect,Transit_Venus,Venus,Uranus,Uranus,square,3.7621333529264405,0.4625523781533657,,,,,weaker_than_yesterday,separating,0.4162971403380291
39,True,aspect,Transit_Venus,Venus,Neptune,Neptune,trine,7.6610333529264665,0.04237083088419169,,,,,weaker_than_yesterday,separating,0.03813374779577252
40,True,aspect,Transit_Mars,Mars,Moon,Moon,sextile,0.7875468158539718,0.8687421973576713,,,,,stronger_than_yesterday,applying,0.999053526961322
41,True,aspect,Transit_Mars,Mars,Venus,Venus,trine,6.463753184146029,0.1920308519817464,,,,,weaker_than_yesterday,separating,0.17282776678357178
42,True,aspect,Transit_Mars,Mars,Mars,Mars,opposition,6.546946815853971,0.1816316480182536,,,,,stronger_than_yesterday,applying,0.20887639522099163
