check,planet,oracle_longitude,production_longitude,longitude_delta_deg,longitude_pass,oracle_sign,production_sign,sign_pass,oracle_speed,production_speed,speed_delta,oracle_retrograde,production_retrograde,retrograde_flag_pass,final_motion
transit_planet,Sun,106.23364219,106.23364361,1.42e-06,True,Cancer,Cancer,True,0.95359635,0.9535974591526841,1.11e-06,False,False,True,direct
transit_planet,Moon,23.36586471,23.36591933,5.462e-05,True,Aries,Aries,True,13.73155648,13.731618114174845,6.164e-05,False,False,True,direct
transit_planet,Mercury,113.61109942,113.61109589,3.53e-06,True,Cancer,Cancer,True,-0.56080335,-0.5608058362393291,2.49e-06,True,True,True,retrograde
transit_planet,Venus,148.49533904,148.49533335,5.69e-06,True,Leo,Leo,True,1.11725717,1.1172580577908473,8.9e-07,False,False,True,direct
transit_planet,Mars,66.77446049,66.77445318,7.31e-06,True,Gemini,Gemini,True,0.70333314,0.7033337694910643,6.3e-07,False,False,True,direct
transit_planet,Jupiter,121.75433065,121.75430903,2.162e-05,True,Leo,Leo,True,0.21759327,0.21759373636855897,4.7e-07,False,False,True,direct
transit_planet,Saturn,14.46058937,14.4605975,8.13e-06,True,Aries,Aries,True,0.03117685,0.03117653482231039,3.2e-07,False,False,True,direct
transit_planet,Uranus,64.06427017,64.06425316,1.701e-05,True,Gemini,Gemini,True,0.04665653,0.04665633457149852,2e-07,False,False,True,direct
transit_planet,Neptune,4.41773975,4.41784283,0.00010308,True,Aries,Aries,True,-0.00049113,-0.0004911556022801258,2e-08,True,True,True,stationary
transit_planet,Pluto,304.71905882,304.71916332,0.0001045,True,Aquarius,Aquarius,True,-0.02193027,-0.02193015030633801,1.2e-07,True,True,True,retrograde
