index,included_in_day_scoring,type,planet,planet_clean,target_planet,target_planet_clean,aspect_type,orb,strength,house,sign,technique,technique_family,delta_kind,phase,daily_salience
1,True,aspect,Transit_Sun,Sun,Mercury,Mercury,trine,0.5290436092750213,0.9338695488406223,,,,,background,background,0.5136282518623423
2,True,aspect,Transit_Sun,Sun,Pluto,Pluto,square,6.086756390724986,0.13046337275357345,,,,,new_today,entering,0.1696023845796455
3,True,aspect,Transit_Moon,Moon,Neptune,Neptune,trine,2.531619326816042,0.6835475841479948,,,,,new_today,entering,0.8886118593923932
4,True,aspect,Transit_Moon,Moon,Pluto,Pluto,opposition,1.0455193268160201,0.8693100841479975,,,,,new_today,entering,1.1301031093923968
5,True,aspect,Transit_Mercury,Mercury,Mercury,Mercury,trine,7.906495892617002,0.011688013422874732,,,,,new_today,entering,0.015194417449737152
6,True,aspect,Transit_Mercury,Mercury,Uranus,Uranus,trine,1.1221041073830094,0.8597369865771238,,,,,background,background,0.47285534261741813
7,True,aspect,Transit_Mercury,Mercury,Pluto,Pluto,square,1.290695892616995,0.8156148724832865,,,,,background,background,0.44858817986580757
8,True,aspect,Transit_Venus,Venus,Uranus,Uranus,square,3.7621333529264405,0.4625523781533657,,,,,weaker_than_yesterday,separating,0.4162971403380291
9,True,aspect,Transit_Venus,Venus,Neptune,Neptune,trine,7.6610333529264665,0.04237083088419169,,,,,weaker_than_yesterday,separating,0.03813374779577252
10,True,aspect,Transit_Mars,Mars,Moon,Moon,sextile,0.7875468158539718,0.8687421973576713,,,,,stronger_than_yesterday,applying,0.999053526961322
11,True,aspect,Transit_Mars,Mars,Venus,Venus,trine,6.463753184146029,0.1920308519817464,,,,,weaker_than_yesterday,separating,0.17282776678357178
12,True,aspect,Transit_Mars,Mars,Mars,Mars,opposition,6.546946815853971,0.1816316480182536,,,,,stronger_than_yesterday,applying,0.20887639522099163
13,True,aspect,Transit_Mars,Mars,Jupiter,Jupiter,trine,6.135953184146032,0.23300585198174595,,,,,weaker_than_yesterday,separating,0.20970526678357135
14,True,aspect,Transit_Mars,Mars,Saturn,Saturn,trine,2.0643531841460145,0.7419558519817482,,,,,weaker_than_yesterday,separating,0.6677602667835734
15,True,aspect,Transit_Jupiter,Jupiter,Sun,Sun,square,5.668190972821407,0.1902584324540848,,,,,background,background,0.10464213784974664
16,True,aspect,Transit_Jupiter,Jupiter,Moon,Moon,conjunction,5.807690972821391,0.2740386283973262,,,,,background,background,0.1507212456185294
17,True,aspect,Transit_Jupiter,Jupiter,Venus,Venus,sextile,1.44360902717861,0.7593984954702316,,,,,background,background,0.41766917250862745
18,True,aspect,Transit_Jupiter,Jupiter,Jupiter,Jupiter,sextile,1.1158090271786136,0.8140318288035644,,,,,background,background,0.44771750584196046
