signal_type,planet,target_planet,aspect_type,house,sphere,planet_weight,aspect_weight,strength,threshold,base,modifier,contribution,passed_threshold,source
aspect,Transit_Moon,Neptune,trine,,thinking_speech_learning,0.3,0.85,0.6835475841479948,0.35,0.174305,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,thinking_speech_learning,0.3,0.95,0.8693100841479975,0.35,0.247753,0.0,0.0,False,aspect
aspect,Transit_Mercury,Mercury,trine,,thinking_speech_learning,1.0,0.85,0.011688013422874732,0.35,0.009935,0.0,0.0,False,aspect
aspect,Transit_Mercury,Uranus,trine,,thinking_speech_learning,1.0,0.85,0.8597369865771238,0.35,0.730776,0.0,0.730776,True,aspect
aspect,Transit_Mercury,Pluto,square,,thinking_speech_learning,1.0,0.85,0.8156148724832865,0.35,0.693273,0.0,0.693273,True,aspect
aspect,Transit_Jupiter,Sun,square,,thinking_speech_learning,0.4,0.85,0.1902584324540848,0.35,0.064688,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,thinking_speech_learning,0.4,1.0,0.2740386283973262,0.35,0.109615,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,thinking_speech_learning,0.4,0.55,0.7593984954702316,0.55,0.167068,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,thinking_speech_learning,0.4,0.55,0.8140318288035644,0.55,0.179087,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,thinking_speech_learning,0.4,0.55,0.5073681711964326,0.55,0.111621,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,thinking_speech_learning,0.4,0.85,0.12236137160267546,0.35,0.041603,0.0,0.0,False,aspect
aspect,Transit_Sun,Mercury,trine,,work_status_achievement,0.5,0.85,0.9338695488406223,0.35,0.396895,0.0,0.396895,True,aspect
aspect,Transit_Sun,Pluto,square,,work_status_achievement,0.5,0.85,0.13046337275357345,0.35,0.055447,0.0,0.0,False,aspect
aspect,Transit_Mars,Moon,sextile,,work_status_achievement,0.6,0.55,0.8687421973576713,0.55,0.286685,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,work_status_achievement,0.6,0.85,0.1920308519817464,0.35,0.097936,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,work_status_achievement,0.6,0.95,0.1816316480182536,0.35,0.10353,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,work_status_achievement,0.6,0.85,0.23300585198174595,0.35,0.118833,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,work_status_achievement,0.6,0.85,0.7419558519817482,0.35,0.378397,0.2,0.578397,True,aspect
