activation_id,active,technique,technique_family,target_type,target_key,strength,polarity,mapped_sphere,mapping_reason,target_weight,family_weight,polarity_modifier,expected_amount,status
t2n__SUN__TRINE__MERCURY,True,transit_to_natal,transit,planet,MERCURY,0.7751,supportive,thinking_speech_learning,planet MERCURY found in spheres.thinking_speech_learning.planets,1.0,1.0,1.0,0.7751,mapped
t2n__SUN__TRINE__MERCURY,True,transit_to_natal,transit,planet,MERCURY,0.7751,supportive,meaning_expansion_vector,planet MERCURY found in spheres.meaning_expansion_vector.planets,0.4,1.0,1.0,0.31,mapped
t2n__SUN__QUINCUNX__MARS,True,transit_to_natal,transit,planet,MARS,0.2059,neutral,work_status_achievement,planet MARS found in spheres.work_status_achievement.planets,0.6,1.0,0.7,0.0865,mapped
t2n__SUN__QUINCUNX__MARS,True,transit_to_natal,transit,planet,MARS,0.2059,neutral,relationships_partnership,planet MARS found in spheres.relationships_partnership.planets,0.4,1.0,0.7,0.0577,mapped
t2n__SUN__QUINCUNX__MARS,True,transit_to_natal,transit,planet,MARS,0.2059,neutral,body_energy_health,planet MARS found in spheres.body_energy_health.planets,1.0,1.0,0.7,0.1441,mapped
t2n__SUN__QUINCUNX__MARS,True,transit_to_natal,transit,planet,MARS,0.2059,neutral,crisis_transformation_control,planet MARS found in spheres.crisis_transformation_control.planets,0.7,1.0,0.7,0.1009,mapped
t2n__SUN__QUINCUNX__NEPTUNE,True,transit_to_natal,transit,planet,NEPTUNE,0.0319,neutral,inner_background_unconscious,planet NEPTUNE found in spheres.inner_background_unconscious.planets,1.0,1.0,0.7,0.0223,mapped
t2n__SUN__QUINCUNX__NEPTUNE,True,transit_to_natal,transit,planet,NEPTUNE,0.0319,neutral,meaning_expansion_vector,planet NEPTUNE found in spheres.meaning_expansion_vector.planets,0.5,1.0,0.7,0.0112,mapped
t2n__MOON__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.0522,tense,work_status_achievement,planet MARS found in spheres.work_status_achievement.planets,0.6,1.0,1.0,0.0313,mapped
t2n__MOON__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.0522,tense,relationships_partnership,planet MARS found in spheres.relationships_partnership.planets,0.4,1.0,1.0,0.0209,mapped
t2n__MOON__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.0522,tense,body_energy_health,planet MARS found in spheres.body_energy_health.planets,1.0,1.0,1.0,0.0522,mapped
t2n__MOON__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.0522,tense,crisis_transformation_control,planet MARS found in spheres.crisis_transformation_control.planets,0.7,1.0,1.0,0.0365,mapped
t2n__MOON__QUINCUNX__URANUS,True,transit_to_natal,transit,planet,URANUS,0.2906,neutral,,no sphere mapping,,1.0,0.7,,unmapped
t2n__MOON__TRINE__NEPTUNE,True,transit_to_natal,transit,planet,NEPTUNE,0.4196,supportive,inner_background_unconscious,planet NEPTUNE found in spheres.inner_background_unconscious.planets,1.0,1.0,1.0,0.4196,mapped
