activation_id,sphere,expected_amount,actual_amount,actual_contribution_source_id,formula,strength,family_weight,target_weight,polarity_modifier,amount_delta,status
annual_profection__HOUSE__10,work_status_achievement,0.336,0.336,annual_profection__HOUSE__10,strength * family_weight * target_weight * polarity_modifier,0.75,0.8,0.8,0.7,0.0,ok
annual_profection__LORD_OF_YEAR__MARS,body_energy_health,0.42,0.42,annual_profection__LORD_OF_YEAR__MARS,strength * family_weight * target_weight * polarity_modifier,0.75,0.8,1.0,0.7,0.0,ok
annual_profection__LORD_OF_YEAR__MARS,crisis_transformation_control,0.294,0.294,annual_profection__LORD_OF_YEAR__MARS,strength * family_weight * target_weight * polarity_modifier,0.75,0.8,0.7,0.7,0.0,ok
annual_profection__LORD_OF_YEAR__MARS,relationships_partnership,0.168,0.168,annual_profection__LORD_OF_YEAR__MARS,strength * family_weight * target_weight * polarity_modifier,0.75,0.8,0.4,0.7,0.0,ok
annual_profection__LORD_OF_YEAR__MARS,work_status_achievement,0.252,0.252,annual_profection__LORD_OF_YEAR__MARS,strength * family_weight * target_weight * polarity_modifier,0.75,0.8,0.6,0.7,0.0,ok
firdar_major__PERIOD_LORD__SUN,body_energy_health,0.2912,0.2912,firdar_major__PERIOD_LORD__SUN,strength * family_weight * target_weight * polarity_modifier,0.65,0.8,0.8,0.7,0.0,ok
firdar_major__PERIOD_LORD__SUN,work_status_achievement,0.182,0.182,firdar_major__PERIOD_LORD__SUN,strength * family_weight * target_weight * polarity_modifier,0.65,0.8,0.5,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,body_energy_health,0.112,0.112,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,0.5,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,crisis_transformation_control,0.1344,0.1344,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,0.6,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,home_family_roots,0.112,0.112,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,0.5,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,inner_background_unconscious,0.112,0.112,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,0.5,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,money_security_resources,0.1344,0.1344,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,0.6,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,relationships_partnership,0.0672,0.0672,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,0.3,0.7,0.0,ok
firdar_minor__SUBPERIOD_LORD__SATURN,work_status_achievement,0.224,0.224,firdar_minor__SUBPERIOD_LORD__SATURN,strength * family_weight * target_weight * polarity_modifier,0.4,0.8,1.0,0.7,0.0,ok
lunar_return__ANGLE_ASC__NATAL_HOUSE_12,inner_background_unconscious,0.2772,0.2772,lunar_return__ANGLE_ASC__NATAL_HOUSE_12,strength * family_weight * target_weight * polarity_modifier,0.55,0.9,0.8,0.7,0.0,ok
lunar_return__ANGLE_MC__NATAL_HOUSE_8,crisis_transformation_control,0.2772,0.2772,lunar_return__ANGLE_MC__NATAL_HOUSE_8,strength * family_weight * target_weight * polarity_modifier,0.55,0.9,0.8,0.7,0.0,ok
lunar_return__ANGLE_MC__NATAL_HOUSE_8,inner_background_unconscious,0.2772,0.2772,lunar_return__ANGLE_MC__NATAL_HOUSE_8,strength * family_weight * target_weight * polarity_modifier,0.55,0.9,0.8,0.7,0.0,ok
lunar_return__ANGLE_MC__NATAL_HOUSE_8,money_security_resources,0.2772,0.2772,lunar_return__ANGLE_MC__NATAL_HOUSE_8,strength * family_weight * target_weight * polarity_modifier,0.55,0.9,0.8,0.7,0.0,ok
lunar_return__ANGULAR_PLANET__SUN__HOUSE_1,body_energy_health,0.252,0.252,lunar_return__ANGULAR_PLANET__SUN__HOUSE_1,strength * family_weight * target_weight * polarity_modifier,0.5,0.9,0.8,0.7,0.0,ok
lunar_return__ANGULAR_PLANET__SUN__HOUSE_1,work_status_achievement,0.1575,0.1575,lunar_return__ANGULAR_PLANET__SUN__HOUSE_1,strength * family_weight * target_weight * polarity_modifier,0.5,0.9,0.5,0.7,0.0,ok
lunar_return__MOON_HOUSE__3,thinking_speech_learning,0.3024,0.3024,lunar_return__MOON_HOUSE__3,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.8,0.7,0.0,ok
monthly_profection__HOUSE__6,body_energy_health,0.2016,0.2016,monthly_profection__HOUSE__6,strength * family_weight * target_weight * polarity_modifier,0.45,0.8,0.8,0.7,0.0,ok
monthly_profection__HOUSE__6,work_status_achievement,0.2016,0.2016,monthly_profection__HOUSE__6,strength * family_weight * target_weight * polarity_modifier,0.45,0.8,0.8,0.7,0.0,ok
monthly_profection__LORD_OF_MONTH__JUPITER,meaning_expansion_vector,0.252,0.252,monthly_profection__LORD_OF_MONTH__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.45,0.8,1.0,0.7,0.0,ok
monthly_profection__LORD_OF_MONTH__JUPITER,money_security_resources,0.1764,0.1764,monthly_profection__LORD_OF_MONTH__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.45,0.8,0.7,0.7,0.0,ok
monthly_profection__LORD_OF_MONTH__JUPITER,thinking_speech_learning,0.1008,0.1008,monthly_profection__LORD_OF_MONTH__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.45,0.8,0.4,0.7,0.0,ok
monthly_profection__LORD_OF_MONTH__JUPITER,work_status_achievement,0.0756,0.0756,monthly_profection__LORD_OF_MONTH__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.45,0.8,0.3,0.7,0.0,ok
secondary_progression__MOON__SEMI_SEXTILE__NATAL_LOT_EROS,relationships_partnership,0.3274,0.3274,secondary_progression__MOON__SEMI_SEXTILE__NATAL_LOT_EROS,strength * family_weight * target_weight * polarity_modifier,0.5847,1.0,0.8,0.7,0.0,ok
secondary_progression__MOON__TRINE__NATAL_LOT_MARRIAGE,relationships_partnership,0.3953,0.3953,secondary_progression__MOON__TRINE__NATAL_LOT_MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.4941,1.0,0.8,1.0,0.0,ok
solar_arc__MARS__CONJUNCTION__NATAL_ANGLE_DSC,relationships_partnership,0.1599,0.1599,solar_arc__MARS__CONJUNCTION__NATAL_ANGLE_DSC,strength * family_weight * target_weight * polarity_modifier,0.2687,1.0,0.7,0.85,0.0,ok
solar_arc__MARS__OPPOSITION__NATAL_ANGLE_ASC,body_energy_health,0.1881,0.1881,solar_arc__MARS__OPPOSITION__NATAL_ANGLE_ASC,strength * family_weight * target_weight * polarity_modifier,0.2687,1.0,0.7,1.0,0.0,ok
solar_arc__MARS__SQUARE__NATAL_LOT_FORTUNE,money_security_resources,0.1368,0.1368,solar_arc__MARS__SQUARE__NATAL_LOT_FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.171,1.0,0.8,1.0,0.0,ok
solar_arc__MARS__SQUARE__NATAL_LOT_FORTUNE,work_status_achievement,0.1368,0.1368,solar_arc__MARS__SQUARE__NATAL_LOT_FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.171,1.0,0.8,1.0,0.0,ok
solar_arc__MARS__SQUARE__NATAL_LOT_SPIRIT,meaning_expansion_vector,0.293,0.293,solar_arc__MARS__SQUARE__NATAL_LOT_SPIRIT,strength * family_weight * target_weight * polarity_modifier,0.3663,1.0,0.8,1.0,0.0,ok
solar_arc__MARS__TRINE__NATAL_VENUS,home_family_roots,0.0444,0.0444,solar_arc__MARS__TRINE__NATAL_VENUS,strength * family_weight * target_weight * polarity_modifier,0.1109,1.0,0.4,1.0,0.0,ok
solar_arc__MARS__TRINE__NATAL_VENUS,money_security_resources,0.0887,0.0887,solar_arc__MARS__TRINE__NATAL_VENUS,strength * family_weight * target_weight * polarity_modifier,0.1109,1.0,0.8,1.0,0.0,ok
solar_arc__MARS__TRINE__NATAL_VENUS,relationships_partnership,0.1109,0.1109,solar_arc__MARS__TRINE__NATAL_VENUS,strength * family_weight * target_weight * polarity_modifier,0.1109,1.0,1.0,1.0,0.0,ok
solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,body_energy_health,0.1764,0.1764,solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.294,1.0,0.6,1.0,0.0,ok
solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,home_family_roots,0.294,0.294,solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.294,1.0,1.0,1.0,0.0,ok
solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,inner_background_unconscious,0.1764,0.1764,solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.294,1.0,0.6,1.0,0.0,ok
solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,relationships_partnership,0.1764,0.1764,solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.294,1.0,0.6,1.0,0.0,ok
solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,thinking_speech_learning,0.0882,0.0882,solar_arc__NEPTUNE__OPPOSITION__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.294,1.0,0.3,1.0,0.0,ok
solar_arc__NEPTUNE__SQUARE__NATAL_SUN,body_energy_health,0.3134,0.3134,solar_arc__NEPTUNE__SQUARE__NATAL_SUN,strength * family_weight * target_weight * polarity_modifier,0.3917,1.0,0.8,1.0,0.0,ok
solar_arc__NEPTUNE__SQUARE__NATAL_SUN,work_status_achievement,0.1958,0.1958,solar_arc__NEPTUNE__SQUARE__NATAL_SUN,strength * family_weight * target_weight * polarity_modifier,0.3917,1.0,0.5,1.0,0.0,ok
solar_arc__PLUTO__TRINE__NATAL_MOON,body_energy_health,0.0394,0.0394,solar_arc__PLUTO__TRINE__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.0657,1.0,0.6,1.0,0.0,ok
solar_arc__PLUTO__TRINE__NATAL_MOON,home_family_roots,0.0657,0.0657,solar_arc__PLUTO__TRINE__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.0657,1.0,1.0,1.0,0.0,ok
solar_arc__PLUTO__TRINE__NATAL_MOON,inner_background_unconscious,0.0394,0.0394,solar_arc__PLUTO__TRINE__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.0657,1.0,0.6,1.0,0.0,ok
solar_arc__PLUTO__TRINE__NATAL_MOON,relationships_partnership,0.0394,0.0394,solar_arc__PLUTO__TRINE__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.0657,1.0,0.6,1.0,0.0,ok
solar_arc__PLUTO__TRINE__NATAL_MOON,thinking_speech_learning,0.0197,0.0197,solar_arc__PLUTO__TRINE__NATAL_MOON,strength * family_weight * target_weight * polarity_modifier,0.0657,1.0,0.3,1.0,0.0,ok
solar_arc__VENUS__CONJUNCTION__NATAL_MERCURY,meaning_expansion_vector,0.0586,0.0586,solar_arc__VENUS__CONJUNCTION__NATAL_MERCURY,strength * family_weight * target_weight * polarity_modifier,0.1723,1.0,0.4,0.85,0.0,ok
solar_arc__VENUS__CONJUNCTION__NATAL_MERCURY,thinking_speech_learning,0.1465,0.1465,solar_arc__VENUS__CONJUNCTION__NATAL_MERCURY,strength * family_weight * target_weight * polarity_modifier,0.1723,1.0,1.0,0.85,0.0,ok
solar_return__ANGLE_MC__NATAL_HOUSE_7,relationships_partnership,0.3528,0.3528,solar_return__ANGLE_MC__NATAL_HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.7,0.9,0.8,0.7,0.0,ok
solar_return__ANGULAR_PLANET__MARS__HOUSE_7,body_energy_health,0.378,0.378,solar_return__ANGULAR_PLANET__MARS__HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,1.0,0.7,0.0,ok
solar_return__ANGULAR_PLANET__MARS__HOUSE_7,crisis_transformation_control,0.2646,0.2646,solar_return__ANGULAR_PLANET__MARS__HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.7,0.7,0.0,ok
solar_return__ANGULAR_PLANET__MARS__HOUSE_7,relationships_partnership,0.1512,0.1512,solar_return__ANGULAR_PLANET__MARS__HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.4,0.7,0.0,ok
solar_return__ANGULAR_PLANET__MARS__HOUSE_7,work_status_achievement,0.2268,0.2268,solar_return__ANGULAR_PLANET__MARS__HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.6,0.7,0.0,ok
solar_return__ANGULAR_PLANET__PLUTO__HOUSE_10,crisis_transformation_control,0.378,0.378,solar_return__ANGULAR_PLANET__PLUTO__HOUSE_10,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,1.0,0.7,0.0,ok
